,word,rank,layer
0,и не,1,0
0,и не,1,0
0,и не,1,0
0,и не,1,0
0,и не,1,0
0,и не,1,0
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,1
0,и не,1,3
0,и не,1,3
0,и не,1,4
0,и не,1,4
0,и не,1,4
0,и не,1,4
0,и не,1,4
0,и не,1,4
0,и не,1,4
0,и не,1,5
0,и не,1,5
0,и не,1,5
0,и не,1,5
0,и не,1,5
0,и не,1,5
0,и не,1,5
0,и не,1,5
0,и не,1,5
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,6
0,и не,1,7
0,и не,1,8
0,и не,1,8
0,и не,1,8
0,и не,1,9
0,и не,1,10
0,и не,1,10
0,и не,1,10
0,и не,1,10
0,и не,1,10
0,и не,1,11
0,и не,1,11
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,0
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,1
3,я не,4,2
3,я не,4,2
3,я не,4,2
3,я не,4,3
3,я не,4,4
3,я не,4,4
3,я не,4,4
3,я не,4,4
3,я не,4,5
3,я не,4,5
3,я не,4,5
3,я не,4,5
3,я не,4,5
