,word,rank,layer
2,до сих пор,3,0
2,до сих пор,3,0
2,до сих пор,3,0
2,до сих пор,3,0
2,до сих пор,3,0
2,до сих пор,3,0
2,до сих пор,3,0
2,до сих пор,3,0
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,1
2,до сих пор,3,2
2,до сих пор,3,4
2,до сих пор,3,4
2,до сих пор,3,4
2,до сих пор,3,4
2,до сих пор,3,4
2,до сих пор,3,4
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,5
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,6
2,до сих пор,3,7
2,до сих пор,3,7
2,до сих пор,3,7
2,до сих пор,3,7
2,до сих пор,3,7
2,до сих пор,3,8
2,до сих пор,3,8
2,до сих пор,3,8
2,до сих пор,3,8
2,до сих пор,3,8
2,до сих пор,3,9
2,до сих пор,3,9
2,до сих пор,3,10
2,до сих пор,3,10
2,до сих пор,3,10
2,до сих пор,3,11
4,для того чтобы,5,0
4,для того чтобы,5,0
4,для того чтобы,5,0
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,1
4,для того чтобы,5,2
4,для того чтобы,5,2
4,для того чтобы,5,2
4,для того чтобы,5,2
4,для того чтобы,5,2
4,для того чтобы,5,3
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,4
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,5
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,6
4,для того чтобы,5,7
4,для того чтобы,5,7
4,для того чтобы,5,7
4,для того чтобы,5,7
4,для того чтобы,5,7
4,для того чтобы,5,7
4,для того чтобы,5,7
4,для того чтобы,5,7
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,8
4,для того чтобы,5,9
4,для того чтобы,5,9
4,для того чтобы,5,9
4,для того чтобы,5,9
4,для того чтобы,5,9
4,для того чтобы,5,10
4,для того чтобы,5,10
4,для того чтобы,5,10
4,для того чтобы,5,10
4,для того чтобы,5,10
