,word,rank,layer
0,и,1,0
0,и,1,0
0,и,1,0
0,и,1,0
0,и,1,0
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,1
0,и,1,2
0,и,1,3
0,и,1,4
0,и,1,4
0,и,1,4
0,и,1,5
0,и,1,5
0,и,1,5
0,и,1,6
0,и,1,7
0,и,1,9
0,и,1,9
0,и,1,9
0,и,1,9
0,и,1,10
0,и,1,11
1,я,5,0
1,я,5,0
1,я,5,0
1,я,5,0
1,я,5,0
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,1
1,я,5,2
1,я,5,2
1,я,5,3
1,я,5,4
1,я,5,4
1,я,5,5
1,я,5,5
1,я,5,5
1,я,5,6
1,я,5,6
1,я,5,6
1,я,5,6
1,я,5,6
1,я,5,7
1,я,5,7
1,я,5,7
1,я,5,7
1,я,5,8
1,я,5,8
1,я,5,9
1,я,5,9
1,я,5,9
1,я,5,10
1,я,5,11
2,быть,7,0
2,быть,7,0
2,быть,7,0
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,1
2,быть,7,2
2,быть,7,3
2,быть,7,4
2,быть,7,4
2,быть,7,4
2,быть,7,5
2,быть,7,5
2,быть,7,5
2,быть,7,6
2,быть,7,7
2,быть,7,7
2,быть,7,9
3,то,12,0
3,то,12,0
3,то,12,0
3,то,12,0
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,1
3,то,12,2
3,то,12,4
3,то,12,4
3,то,12,5
3,то,12,5
3,то,12,5
3,то,12,6
3,то,12,6
3,то,12,6
3,то,12,7
3,то,12,9
4,этот,15,0
4,этот,15,0
4,этот,15,0
4,этот,15,1
4,этот,15,1
4,этот,15,1
4,этот,15,1
4,этот,15,1
4,этот,15,1
4,этот,15,1
4,этот,15,1
4,этот,15,2
4,этот,15,3
4,этот,15,4
4,этот,15,4
4,этот,15,5
4,этот,15,5
4,этот,15,5
4,этот,15,6
4,этот,15,6
4,этот,15,6
4,этот,15,7
4,этот,15,7
4,этот,15,7
4,этот,15,9
4,этот,15,9
4,этот,15,10
4,этот,15,11
5,мы,20,0
5,мы,20,0
5,мы,20,0
5,мы,20,0
5,мы,20,0
5,мы,20,0
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,1
5,мы,20,2
5,мы,20,3
5,мы,20,4
5,мы,20,4
5,мы,20,5
5,мы,20,5
5,мы,20,5
5,мы,20,6
5,мы,20,6
5,мы,20,6
5,мы,20,6
5,мы,20,7
5,мы,20,7
5,мы,20,7
5,мы,20,8
5,мы,20,9
5,мы,20,9
5,мы,20,10
5,мы,20,11
6,весь,24,0
6,весь,24,0
6,весь,24,0
6,весь,24,0
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,1
6,весь,24,2
6,весь,24,2
6,весь,24,4
6,весь,24,4
6,весь,24,4
6,весь,24,5
6,весь,24,5
6,весь,24,5
6,весь,24,6
6,весь,24,6
6,весь,24,6
6,весь,24,7
6,весь,24,7
6,весь,24,7
6,весь,24,7
6,весь,24,9
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,0
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,1
7,за,26,2
7,за,26,4
7,за,26,4
7,за,26,4
7,за,26,5
7,за,26,5
7,за,26,7
7,за,26,9
7,за,26,9
7,за,26,11
8,от,27,0
8,от,27,0
8,от,27,0
8,от,27,0
8,от,27,0
8,от,27,0
8,от,27,0
8,от,27,0
8,от,27,0
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
8,от,27,1
